message,recipientType,specificUserIds,timestamp
"Hello It is me Amresh Bhuyan..! ",specific,ibOfZddCTxY18ddLqIqLriwSLyo1,2025-03-22T18:10:37.983Z
"🤔 ",all,,2025-03-22T19:33:11.371Z
"Welcome to Admin panel ",specific,YLYmiyS0xZWHcw0YUXQhPH9thTF2,2025-03-23T12:15:37.662Z
hi,specific,"QlaE4Xhed1YIWbWBTedyR1ydKwh2,ka4No8Ak1bcOw9vvzriGsDTr2nC2",2025-03-23T17:22:12.436Z
welcome Sudarshan! book meal for tomorrow now!,specific,"hjFSirACjrdlfuvwgKRfvAervyr2,ibOfZddCTxY18ddLqIqLriwSLyo1",2025-03-24T06:08:36.132Z
